ID	Jan	Feb	Mar	Apr	May	June	July	Aug	Sep	Oct	Nov	Dec	Total
58505	0	0	0	0	3	3	17	6	3	0	0	0	32
81559	0	5	28	94	227	503	821	780	308	46	5	0	2817
52773	0	0	6	41	183	102	116	458	49	4	0	0	959
58521	0	0	0	0	1	10	22	8	4	1	0	0	46
122363	0	0	4	2	6	6	1	4	0	4	0	0	27
58469	0	2	32	54	47	150	41	9	7	1	0	0	343
58475	0	14	58	75	148	49	2	2	2	0	0	0	350
58513	0	0	0	0	4	87	117	3	0	0	0	0	211
58481	5	2	3	9	40	196	161	283	113	35	1	0	848
58507	0	0	0	0	96	454	42	3	0	0	0	0	595
58484	0	0	0	0	5	295	301	30	2	0	0	0	633
58478	0	0	1	38	36	23	106	138	70	7	0	0	419
58506	0	0	0	3	10	41	49	58	23	3	0	0	187
148883	7	6	4	14	11	16	18	18	13	74	71	16	268
232578	0	0	0	0	0	0	0	1	0	1	0	0	2
257634	0	0	1	0	1	5	5	20	14	3	1	1	51
148800	7	29	29	29	26	29	50	59	61	127	40	9	495
67435	29	14	13	14	8	24	50	111	149	274	99	49	834
58511	0	0	0	4	8	11	71	41	13	13	2	0	163
51311	25	28	20	13	14	12	32	57	51	78	48	33	411
229679	0	0	0	0	0	5	2	0	0	0	0	0	7
122280	0	4	7	6	23	25	21	19	16	18	13	3	155
58510	0	0	0	1	2	10	79	14	1	0	0	0	107
58514	0	0	24	76	28	75	310	135	44	26	2	0	720
147931	5	2	0	0	0	3	13	39	81	165	55	10	373
50340	27	38	127	225	203	276	497	668	895	816	216	42	4030
51349	2	15	45	91	53	100	138	152	212	255	56	6	1125
130474	9	9	7	8	11	11	7	13	13	25	20	6	139
232577	0	0	0	5	4	0	5	2	0	0	0	0	16
142988	9	8	26	68	50	51	107	155	270	434	72	19	1269
49759	37	36	45	43	54	42	69	61	61	127	50	34	659
59193	0	0	0	4	11	2	0	0	2	0	0	0	19
50071	1	12	32	76	80	96	166	119	93	32	3	0	710
148862	0	2	10	28	15	7	18	16	21	20	4	0	141
117381	0	0	0	1	2	11	14	12	9	2	0	0	51
58472	0	0	2	5	10	25	18	4	3	1	0	0	68
214670	0	0	0	0	8	26	8	2	1	0	0	0	45
148516	3	4	11	8	7	7	6	16	8	8	14	3	95
148517	16	10	8	7	10	12	22	19	22	73	70	23	292
51765	0	8	48	221	222	125	98	73	228	149	24	2	1198
133631	0	0	0	0	38	148	221	371	122	13	1	0	914
148520	0	1	1	1	6	2	5	8	3	11	4	1	43
213338	0	0	1	0	11	17	4	2	0	0	0	0	35
219499	1	1	0	1	1	3	1	1	1	1	0	0	11
59195	4	8	14	17	18	24	50	86	89	139	66	5	520
69942	8	10	12	16	8	1	1	2	2	3	4	2	69
58479	0	0	3	12	22	19	73	96	21	2	2	0	250
55785	0	0	0	6	59	81	9	0	0	0	0	0	155
52075	2	4	50	83	76	114	177	390	548	329	57	8	1838
69743	2	7	7	14	26	27	11	20	34	27	13	1	189
59192	1	0	4	2	12	20	31	22	20	14	0	0	126
59189	0	10	31	35	35	48	46	57	68	18	1	0	349
59188	4	30	96	183	107	84	44	39	39	45	10	3	684
58473	0	0	0	4	61	58	3	1	0	0	0	0	127
126118	0	0	2	4	13	34	0	0	0	0	0	0	53
122375	0	0	0	3	44	147	14	0	0	0	0	0	208
58509	0	0	0	6	8	28	158	48	21	1	0	0	270
58474	0	0	16	34	19	2	0	0	0	0	0	0	71
